Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:527ya02jMbn05DdFD1JEb3,"Broke in Amsterdam - Freischwimmer Extended Remix","Broke in Amsterdam (Freischwimmer Remix)","CALVO;Freischwimmer",2020-09-18,278250,0,false,vane_sarahi,2023-02-01T23:12:50Z,"future house,slap house,tropical house","Dusty Desert Music",0.718,0.853,9,-4.938,1,0.0464,0.000503,0.00394,0.928,0.835,119.989,4
spotify:track:6G0Owtv9nykOcLDcavgNzd,"Take My Hand","Take My Hand","Klaas;Freischwimmer;Sary",2021-05-28,168125,47,false,vane_sarahi,2023-02-01T23:12:57Z,"slap house,tropical house","You Love Dance",0.524,0.886,4,-6.607,1,0.0723,0.00166,0,0.103,0.23,132.044,4
spotify:track:6eggYJok7wmf7ktU8wHp96,"California Dreamin","California Dreamin","Freischwimmer",2016-02-03,212459,36,false,vane_sarahi,2023-02-01T23:13:02Z,"slap house,tropical house","Armada Music",0.842,0.812,9,-4.682,1,0.0347,0.0277,0.0774,0.371,0.749,122.006,3
spotify:track:0l2C9pw5nBeMlzQW8Xz8F9,"Late Night - Solomun Remix","Late Night (Remixes)","Foals;Solomun",2013-04-19,504726,60,false,vane_sarahi,2023-02-01T23:13:08Z,"indie,melodic techno,minimal techno,techno,melodic house,deep house","Warner Records",0.87,0.701,7,-7.385,1,0.0485,0.0225,0.479,0.104,0.195,121.988,4
spotify:track:4Jv7lweGIUOFQ7Oq2AtAh9,"I Follow Rivers - The Magician Remix","I Follow Rivers (The Magician Remix)","Lykke Li;The Magician",2011-10-10,279635,71,false,vane_sarahi,2023-02-01T23:13:16Z,"","Atlantic Records",0.786,0.696,9,-5.796,0,0.0428,0.0234,0.0019,0.0839,0.306,121.974,4
spotify:track:6bk7L0fHir39V25gubJkdq,"Real Groove - Studio 2054 Remix","Real Groove","Kylie Minogue;Dua Lipa",2021-01-20,262893,0,false,vane_sarahi,2023-02-01T23:13:22Z,"dance pop,pop","BMG Rights Management (UK) Ltd",0.767,0.643,5,-6.178,0,0.0387,0.0052,0.0138,0.18,0.699,119.981,4
spotify:track:7dMTCS9BLzBqYTlAuHP8TM,"XT4S1S","XT4S1S","Danna Paola",2022-08-12,219320,58,false,vane_sarahi,2023-02-01T23:13:28Z,"","Universal Music Mexico",0.797,0.677,9,-4.163,0,0.0857,0.101,0,0.441,0.919,130.034,4
spotify:track:4iSF0oZYDXeFTGHG20NOOF,"Sexo Con Ropa","Fórmula, Vol. 3","Romeo Santos",2022-09-01,186163,51,false,vane_sarahi,2023-02-01T23:32:02Z,"bachata,latin","Sony Music Latin",0.922,0.672,3,-3.322,0,0.0432,0.0392,0.000004,0.0565,0.886,126.038,4
spotify:track:4lhzVEFzlYQiCbHhW4Shcv,"La Culpa","La Culpa","Yarea;KICKBOMBO;Pole.",2023-01-20,174222,0,false,vane_sarahi,2023-03-07T19:22:31Z,"","The Music Republic Records",0.853,0.582,6,-7.54,1,0.0665,0.736,0.000111,0.0884,0.446,134.936,4
spotify:track:4WiIscpBgQFm5qIyjoH7M4,"Heads Will Roll","It's Blitz!","Yeah Yeah Yeahs",2009-03-06,221000,47,false,vane_sarahi,2023-03-22T22:30:36Z,"indie rock","Interscope",0.562,0.903,8,-4.46,0,0.0296,0.000187,0.0939,0.298,0.791,132.013,4
spotify:track:18oWEPapjNt32E6sCM6VLb,"Heads Will Roll","It's Blitz! (Deluxe Edition)","Yeah Yeah Yeahs",2009-03-06,221000,66,false,vane_sarahi,2023-03-28T02:22:05Z,"indie rock","Interscope",0.562,0.903,8,-4.46,0,0.0296,0.000187,0.0939,0.298,0.791,132.013,4
