Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5iubMV6ASiIcsLb0fs6u2y,"Me Necesita","Me Necesita","PRETTYMUCH;CNCO",2019-10-23,149668,55,false,,2020-09-23T20:52:34Z,"reggaeton,latin","Syco Music",0.552,0.591,1,-4.717,0,0.102,0.0192,0,0.0877,0.706,87.222,4
spotify:track:4iPV0gcc8keTFl6qxqP73M,"Quisiera","Primera Cita","CNCO",2016-08-26,185200,58,false,,2020-09-23T20:48:23Z,"reggaeton,latin","Sony Music Latin",0.663,0.874,0,-3.783,1,0.0506,0.147,0,0.367,0.554,91.85,4
spotify:track:49shYbbd28XFox2gX1e5Mm,"Demuéstrame","CNCO","CNCO",2018-04-06,182130,40,false,,2020-09-22T22:48:07Z,"reggaeton,latin","Sony Music Latin",0.713,0.935,7,-2.536,0,0.0438,0.0163,0,0.29,0.481,93.005,4
spotify:track:6n5956PjaUYUahoGaIIvYQ,"No Me Sueltes","CNCO","CNCO",2018-04-06,177373,39,false,,2020-09-22T22:44:06Z,"reggaeton,latin","Sony Music Latin",0.823,0.737,4,-4.537,1,0.096,0.0923,0,0.114,0.91,95.026,4
spotify:track:0CrcWtJQB7bQE6S1yEbxnP,"Mi Medicina","CNCO","CNCO",2018-04-06,215000,56,false,,2020-09-22T22:34:03Z,"reggaeton,latin","Sony Music Latin",0.69,0.832,9,-4.116,1,0.0956,0.0168,0,0.514,0.572,91.972,4
spotify:track:67w1ExZEtmnuMXggqNeX8w,"Mala Actitud","CNCO","CNCO",2018-04-06,188452,38,false,,2020-09-22T22:28:17Z,"reggaeton,latin","Sony Music Latin",0.723,0.68,11,-5.841,0,0.0706,0.0949,0,0.17,0.523,98.012,4
spotify:track:6ziVPV26v172Pijs6LvubI,"Bonita","CNCO","CNCO",2018-04-06,190838,46,false,,2020-09-22T22:24:09Z,"reggaeton,latin","Sony Music Latin",0.757,0.709,11,-5.342,0,0.0746,0.144,0,0.354,0.466,93.992,4
spotify:track:6OoPfZHS4URjNBUZPhvUpo,"Noche Inolvidable","CNCO","CNCO",2018-04-06,208162,41,false,,2020-09-22T22:17:28Z,"reggaeton,latin","Sony Music Latin",0.765,0.713,10,-5.777,1,0.0384,0.251,0,0.121,0.701,93.989,4
spotify:track:71GAvRsilpo9pqd0vYn8Mo,"Mamita","CNCO","CNCO",2018-04-06,174201,57,false,,2020-09-22T22:13:53Z,"reggaeton,latin","Sony Music Latin",0.803,0.705,10,-5.316,1,0.0624,0.107,0.0000036,0.147,0.49,90.995,4
spotify:track:2PYmyMAMlhX1eVevLo5A6n,"Se Vuelve Loca","CNCO","CNCO",2018-04-06,191672,57,false,,2020-09-22T22:09:40Z,"reggaeton,latin","Sony Music Latin",0.749,0.78,1,-4.307,0,0.0636,0.0196,0,0.0901,0.905,92.007,4
spotify:track:58gqyeFXhOttZW3yetJGPN,"Reggaetón Lento (Remix)","CNCO","CNCO;Little Mix",2018-04-06,188797,63,false,,2020-09-22T21:55:46Z,"reggaeton,latin","Sony Music Latin",0.534,0.911,4,-3.086,0,0.0852,0.15,0,0.0986,0.624,93.767,4
spotify:track:1XgpK29CGGjZnxPYkiRbh4,"Hey DJ","CNCO","CNCO;Yandel",2018-04-06,206922,68,false,,2020-09-22T21:50:12Z,"reggaeton,latin,urbano latino","Sony Music Latin",0.798,0.809,5,-6.152,1,0.0839,0.0317,0,0.214,0.471,90.006,4
spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,"everything i wanted","everything i wanted","Billie Eilish",2019-11-13,245425,84,false,,2020-09-20T05:57:34Z,"","Darkroom/Interscope Records",0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,4
spotify:track:5MSlG8Mg7OQkgJ0on0Qrhl,"Bellas","La Historia de Mi Vida: El Final, Vol. 1","Anthony Santos;Romeo Santos",2018-07-31,243500,0,false,,2020-09-12T03:30:41Z,"bachata,merengue,latin","DASM LLC",0.894,0.766,9,-4.441,1,0.0505,0.118,0.0000098,0.272,0.936,129.997,4
spotify:track:7qCAVkHWZkF44OzOUKf8Cr,"El Perdón (with Enrique Iglesias)","Fénix","Nicky Jam;Enrique Iglesias",2017-01-20,205906,78,false,,2020-09-08T21:38:50Z,"reggaeton,latin,latin pop","Sony Music Latin",0.628,0.69,8,-5.83,1,0.0511,0.443,0,0.113,0.66,179.908,4
spotify:track:31M5m42C3EGlbydf9XB5to,"Duro y Suave","Duro y Suave","Leslie Grace;Noriel",2018-01-19,207720,59,false,,2020-08-31T23:43:39Z,"bachata,trap latino,dembow,reggaeton,trap","Sony Music Latin",0.769,0.721,10,-4.483,0,0.153,0.111,0.000059,0.0505,0.618,94.978,4
spotify:track:5UMa5STKNKGcj2wdNuX2hL,"No Me Arrepiento","Leslie Grace","Leslie Grace",2013-06-25,195106,17,false,,2020-08-31T23:42:55Z,"bachata","Sony Music Latin",0.734,0.719,0,-4.558,1,0.054,0.621,0.00000738,0.0964,0.621,122.012,4
spotify:track:406C5auayfYowPpIINIbTB,"Odio No Odiarte","Leslie Grace","Leslie Grace",2013-06-25,227013,23,false,,2020-08-31T23:42:19Z,"bachata","Sony Music Latin",0.82,0.746,0,-5.038,1,0.0365,0.507,0.00000771,0.105,0.92,130.91,4
spotify:track:6qdas9gzANRo8oYZ5otH5d,"No Te Rindas","Leslie Grace","Leslie Grace",2013-06-25,245026,8,false,,2020-08-31T23:42:02Z,"bachata","Sony Music Latin",0.664,0.758,0,-3.978,1,0.145,0.0281,0.0000572,0.109,0.5,127.969,4
spotify:track:3zsVi12tnVBiscQDx9s1Pc,"Take Me Away","Leslie Grace","Leslie Grace",2013-06-25,234440,10,false,,2020-08-31T23:41:15Z,"bachata","Sony Music Latin",0.679,0.831,8,-6.162,1,0.0495,0.00718,0.00000292,0.201,0.725,125.993,4
spotify:track:0Zc6l5ibnYXHA41yZYaQ32,"A Mi Manera","Leslie Grace","Leslie Grace",2013-06-25,241266,19,false,,2020-08-31T23:40:49Z,"bachata","Sony Music Latin",0.806,0.83,11,-3.854,0,0.0312,0.668,0.000119,0.104,0.932,130.967,4
spotify:track:7vw8B6h6ahgThL1thw7IDP,"Will You Still Love Me Tomorrow","Leslie Grace","Leslie Grace",2013-06-25,191853,40,false,,2020-08-31T23:40:22Z,"bachata","Sony Music Latin",0.627,0.778,1,-5.596,1,0.0491,0.258,0,0.108,0.604,129.826,4
spotify:track:1l89iNLbzfFN9TsWJORolB,"Díganle - Tainy Remix","Díganle (Tainy Remix)","Leslie Grace;Becky G;CNCO",2018-08-17,211428,52,false,,2020-08-31T23:40:01Z,"bachata,reggaeton,latin","Sony Music Latin",0.84,0.789,1,-4.695,0,0.0949,0.102,0,0.309,0.619,92.018,4
spotify:track:4rT9oSnPAqSVocdUHcfMvS,"Última Vez","Limon Y Sal","Julieta Venegas",2006-05-25,239600,33,false,,2020-08-31T22:25:55Z,"latin pop,latin rock","Ariola",0.617,0.44,2,-5.712,1,0.0253,0.51,0.000192,0.0866,0.209,95.974,4
spotify:track:4m3vLNZkFAjm30XxPXf7E3,"Eres para Mí","Limon Y Sal","Julieta Venegas;Ana Tijoux",2006-05-25,192760,73,false,,2020-08-31T22:19:01Z,"latin pop,latin rock,latin hip hop","Ariola",0.8,0.685,6,-5.841,0,0.0778,0.0701,0.00000622,0.278,0.899,96.986,4
